order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,quality_score,year,quarter,month,month_name,country,city,specialty,tier,avg_quality_score,category,product_line,spec,weight_kg
1,2,1,50,665.79,33289.5,12,96.4,2023,1,1,January,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
1,2,2,50,646.82,32341,10,97.8,2023,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
632,2,3,50,604.33,30216.5,16,96.5,2024,3,9,September,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
9,2,2,50,594.74,29737,11,97.9,2023,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
563,2,1,50,635.86,31793,11,98.9,2024,3,7,July,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
69,2,7,50,567.46,28373,11,93,2023,1,3,March,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
156,2,6,50,562.52,28126,11,96.3,2023,2,6,June,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
308,2,1,50,619.13,30956.5,10,96.4,2023,4,11,November,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
600,2,3,50,665.48,33274,15,98.5,2024,3,8,August,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
57,2,2,50,564.64,28232,8,97.1,2023,1,2,February,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
57,2,6,50,603.59,30179.5,6,96.6,2023,1,2,February,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
44,2,3,50,548.77,27438.5,18,99.8,2023,1,2,February,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
53,2,6,50,663.5,33175,6,96.1,2023,1,2,February,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
375,2,4,50,636.66,31833,12,96,2024,1,1,January,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
107,2,3,50,597.82,29891,17,96.9,2023,2,4,April,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
111,2,7,50,571.4,28570,9,95.2,2023,2,4,April,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
190,2,5,50,656.55,32827.5,10,94.5,2023,3,7,July,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
274,2,7,50,600.37,30018.5,12,96.9,2023,4,10,October,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
